,tokenids,sentences,targets
257,43735,"""`` It is n't delicate when I 've got so many . But I do think that writing take-notices up on the wall about the boys and girls is the silliest ever . I should just like to see anybody dare to write my name up with a boy 's . Not , of course , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
258,92315,"""`` but oh , I have such news , Anne . Guess . You can have three guesses . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
259,47991,"""`` I love Diana so , Marilla . I can not ever live without her . But I know very well when we grow up that Diana will get married and go away and leave me . And oh , what shall I do ? I hate her husband -- I just hate him furiously . I 've been imagining it all out -- the wedding and everything -- Diana dressed in snowy garments , with a veil , and looking as beautiful and regal as a queen ; and me the bridesmaid , with a lovely dress too , and puffed sleeves , but with a breaking heart hid beneath my smiling face . And then bidding Diana goodbye-e-e -- '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
260,124093,"""`` We were born to be good friends , Anne . You 've thwarted destiny enough . I know we can help each other in many ways . You are going to keep up your studies , are n't you ? So am I. Come , I 'm going to walk home with you . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
261,90831,"""`` I 'm very much obliged to you , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
262,56041,"""`` I 'm sure I 'd get on better with geometry if only he would n't change the letters , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
263,84687,"""`` It 's extremely interesting , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
264,30724,"""`` Anne , do hold your tongue , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
265,45717,"""`` pick a chew . '' "", ","12,Mr. Bell,4,Bell,3,Mr. William Bell,
"
266,89591,"""`` It spoils the effect because this is hundreds of years before Mrs. Lynde was born . Jane , you arrange this . It 's silly for Elaine to be talking when she 's dead . '' "", ","71,Jane,21,Jane Andrews,
"
267,19914,"""`` I wo n't tell her tonight that she can stay , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
268,39346,"""`` I 've nothing to do with it , remember . You warned me off yourself . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
269,87874,"""`` Please cut it off at once , Marilla , and have it over . Oh , I feel that my heart is broken . This is such an unromantic affliction . The girls in books lose their hair in fevers or sell it to get money for some good deed , and I 'm sure I would n't mind losing my hair in some such fashion half so much . But there is nothing comforting in having your hair cut off because you 've dyed it a dreadful color , is there ? I 'm going to weep all the time you 're cutting it off , if it wo n't interfere . It seems such a tragic thing . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
270,89689,"""`` Now , she 's all ready , '' "", ","71,Jane,21,Jane Andrews,
"
271,28585,"""`` Pretty well . I imagine a good deal , and that helps to pass the time . Of course , it 's rather lonesome . But then , I may as well get used to that . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
272,34235,"""`` I am well in body although considerable rumpled up in spirit , thank you ma'am , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
273,76651,"""`` Well now , you might recite it for me some of these days , out in the barn , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
274,11260,"""`` I suppose you have a nightgown ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
275,43679,"""`` Yes , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
276,22652,"""`` Here is something for you to notice , Anne . When I tell you to do a thing I want you to obey me at once and not stand stock-still and discourse about it . Just you go and do as I bid you . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
277,88670,"""`` but I know I could n't keep still . I 'd be popping up every minute or so to see where I was and if I was n't drifting too far out . And you know , Anne , that would spoil the effect . '' "", ","71,Jane,21,Jane Andrews,
"
278,98108,"""`` I shall take more interest than ever in my studies now , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
279,117515,"""`` Well , when Rachel told us that , I wanted Matthew to draw our money right out and he said he 'd think of it . But Mr. Russell told him yesterday that the bank was all right . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
280,112442,"""`` The lady who keeps it is a reduced gentlewoman , '' "", ","36,Miss Barry,11,Josephine,5,Miss Josephine Barry,2,Barry,1,Josephine Barry,
"
281,18238,"""`` A terrible worker and driver , '' "", ","9,Mrs. Blewett,3,Mrs. Peter,2,Mrs. Peter Blewett,1,Blewett,1,Peter,
"
282,123000,"""`` I 'm going to take my Arts course right here at Green Gables , and study everything that I would at college . '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
283,99498,"""`` and you deserve a good , jolly vacation . Have the best time you can in the out-of-door world and lay in a good stock of health and vitality and ambition to carry you through next year . It will be the tug of war , you know -- the last year before the Entrance . '' "", ","63,Miss Stacy,1,Stacy,
"
284,46107,"""`` but I did n't suppose you really meant it . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
285,116996,"""`` No , he is n't , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
286,41932,"""`` It 's a lot nicer than going round by the road ; that is so dusty and hot , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
287,123738,"""`` a haunt of ancient peace . '' "", ","3,Avonlea,
"
288,88065,"""`` I 'll never , never look at myself again until my hair grows , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
289,86982,"""`` if I 'd decided it was worth while to dye my hair I 'd have dyed it a decent color at least . I would n't have dyed it green . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
290,116618,"""`` June lilies '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
291,44234,"""`` Gertie Pye actually went and put her milk bottle in my place in the brook yesterday . Did you ever ? I do n't speak to her now . '' "", ","45,Mr. Phillips,
"
292,14180,"""`` I do n't dare go out , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
293,75125,"""`` because the thought that it is all my own fault is what makes it so hard . If I could blame it on anybody I would feel so much better . But what would you have done , Marilla , if you had been dared to walk a ridgepole ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
294,63932,"""`` I do n't _ know _ , but I can _ imagine _ , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
295,85182,"""`` I should n't say there was a great deal '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
296,116045,"""`` Hurrah for Blythe , Medalist ! '' "", ","62,Gilbert,51,Gilbert Blythe,2,Blythe,
"
297,90643,"""`` Anne Shirley ! How on earth did you get there ? '' "", ","62,Gilbert,51,Gilbert Blythe,2,Blythe,
"
298,38610,"""`` I never took the brooch out of your room and that is the truth , if I was to be led to the block for it -- although I 'm not very certain what a block is . So there , Marilla . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
299,51557,"""`` Not a thing but raspberry cordial , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
300,82059,"""`` Well now , I guess our Anne did as well as any of them , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
301,43797,"""`` that anybody would . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
302,70825,"""`` Vanilla , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
303,46149,"""`` Obey me at once . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
304,22803,"""`` That , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
305,60904,"""`` Oh , I know I 'm a great trial to you , Marilla , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
306,64369,"""`` She amuses me , and at my time of life an amusing person is a rarity . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
307,47980,"""`` It 's about Diana , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
308,110274,"""`` I 've a compliment for you , Anne , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
309,26711,"""`` Well , I see that I 'll have to be very careful what I say after this , Marilla , since the fine feelings of orphans , brought from goodness knows where , have to be considered before anything else . Oh , no , I 'm not vexed -- do n't worry yourself . I 'm too sorry for you to leave any room for anger in my mind . You 'll have your own troubles with that child . But if you 'll take my advice -- which I suppose you wo n't do , although I 've brought up ten children and buried two -- you 'll do that ` talking to ' you mention with a fair-sized birch switch . I should think _ that _ would be the most effective language for that kind of a child . Her temper matches her hair I guess . Well , good evening , Marilla . I hope you 'll come down to see me often as usual . But you ca n't expect me to visit here again in a hurry , if I 'm liable to be flown at and insulted in such a fashion . It 's something new in _ my _ experience . '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
310,83600,"""`` It 's easy for you because you have an imagination , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
311,99859,"""`` I 'm not even going to look at a schoolbook in vacation , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
312,80973,"""`` I do n't see how I 'm going to eat breakfast , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
313,99787,"""`` Dear Stacy , it would be perfectly dreadful if you did n't come back . I do n't believe I could have the heart to go on with my studies at all if another teacher came here . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
314,91652,"""`` Oh , yes , I think I will , Marilla , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
315,21923,"""`` I 'm crying , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
316,65121,"""`` Somehow , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
317,115390,"""`` That may make me feel badly tomorrow , Josie , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
318,52006,"""`` I must cry , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
319,91907,"""`` I 'm sure I hope so , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
320,47967,"""`` Whatever 's the matter now , Anne ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
321,41130,"""`` Anne Shirley , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
322,81367,"""`` I call it providential , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
323,35418,"""`` But remember this in all your planning , Anne . You 're not going to play all the time nor most of it . You 'll have your work to do and it 'll have to be done first . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
324,10376,"""`` What difference does it make how it 's spelled ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
325,22340,"""`` I could n't , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
326,30820,"""`` It 's lovely to be going home and know it 's home , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
327,26300,"""`` How dare you say such things about me ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
328,110202,"""`` Oh , no , do n't say things like that , Jane , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
329,98007,"""`` I dare say you 'll get along well enough . Miss Stacy says you are bright and diligent . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
330,25689,"""`` I do n't suppose you are any more surprised than I am myself , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
331,28773,"""`` I suppose I could do it to oblige you , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
332,101458,"""`` I want to tell you something and ask you what you think about it . It has worried me terribly -- on Sunday afternoons , that is , when I think specially about such matters . I do really want to be good ; and when I 'm with you or Mrs. Allan or Miss Stacy I want it more than ever and I want to do just what would please you and what you would approve of . But mostly when I 'm with Mrs. Lynde I feel desperately wicked and as if I wanted to go and do the very thing she tells me I ought n't to do . I feel irresistibly tempted to do it . Now , what do you think is the reason I feel like that ? Do you think it 's because I 'm really bad and unregenerate ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
333,56220,"""`` Then I 'm Conservative too , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
334,39711,"""`` Ah ! '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
335,51352,"""`` Whatever has gone wrong now , Anne ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
336,96179,"""`` Anne , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
337,99771,"""`` Oh , I 'm so glad , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
338,8672,"""`` I wish there had been a schoolmaster like that around when I was born , then . Oh , here we are at the bridge . I 'm going to shut my eyes tight . I 'm always afraid going over bridges . I ca n't help imagining that perhaps just as we get to the middle , they 'll crumple up like a jack-knife and nip us . So I shut my eyes . But I always have to open them for all when I think we 're getting near the middle . Because , you see , if the bridge _ did _ crumple up I 'd want to _ see _ it crumple . What a jolly rumble it makes ! I always like the rumble part of it . Is n't it splendid there are so many things to like in this world ? There we 're over . Now I 'll look back . Good night , dear Lake of Shining Waters . I always say good night to the things I love , just as I would to people . I think they like it . That water looks as if it was smiling at me . '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
339,99672,"""`` Yes , I think I will , '' "", ","63,Miss Stacy,1,Stacy,
"
340,59866,"""`` Well , you need n't suffer any longer , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
341,75368,"""`` There , there , I 'm not cross , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
342,115250,"""`` I 've lost seven pounds in the last two weeks , '' "", ","71,Jane,21,Jane Andrews,
"
343,107717,"""`` Shall I put my pearl beads on ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
344,39146,"""`` I 've moved the bureau and I 've taken out the drawers and I 've looked in every crack and cranny '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
345,70764,"""`` Nothing but what the recipe said , Marilla , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
346,23102,"""`` you should n't talk that way . It 's irreverent -- positively irreverent . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
347,81236,"""`` Here -- this box . Aunt Josephine sent us out a big box with ever so many things in it -- and this is for you . I 'd have brought it over last night , but it did n't come until after dark , and I never feel very comfortable coming through the Haunted Wood in the dark now . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
348,115833,"""`` Of course you 'll win one of them anyhow , '' "", ","71,Jane,21,Jane Andrews,
"
349,102586,"""`` She 'll be able to come home often , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
350,57066,"""`` I do n't believe he 'll find the doctor at Carmody , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
351,73971,"""`` I do n't think it 's such a very wonderful thing to walk a little , low , board fence , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
352,83791,"""`` I never saw anybody with purple eyes , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
353,87636,"""`` I can never live this down . People have pretty well forgotten my other mistakes -- the liniment cake and setting Diana drunk and flying into a temper with Mrs. Lynde . But they 'll never forget this . They will think I am not respectable . Oh , Marilla , ` what a tangled web we weave when first we practice to deceive . ' That is poetry , but it is true . And oh , how Josie Pye will laugh ! Marilla , I _ can not _ face Josie Pye . I am the unhappiest girl in Prince Edward Island . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
354,120194,"""`` I shall be all right . Diana will come over for company for me . I shall attend to the ironing and baking beautifully -- you need n't fear that I 'll starch the handkerchiefs or flavor the cake with liniment . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
355,22780,"""`` Anne , whatever are you thinking of ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
356,44473,"""`` I think your Gilbert Blythe _ is _ handsome , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
357,48563,"""`` but that was the afternoon I was trying to think of a name for Violet Vale and it crowded other things out . Matthew was so good . He never scolded a bit . He put the tea down himself and said we could wait awhile as well as not . And I told him a lovely fairy story while we were waiting , so he did n't find the time long at all . It was a beautiful fairy story , Marilla . I forgot the end of it , so I made up an end for it myself and Matthew said he could n't tell where the join came in . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
358,23278,"""`` I like this , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
359,118316,"""`` Mrs. Lynde , you do n't think -- you ca n't think Matthew is -- is -- '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
360,73548,"""`` Small and select , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
361,65498,"""`` tuckered out , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
362,16571,"""`` I lived up river with Mrs. Hammond over two years , and then Mr. Hammond died and Mrs. Hammond broke up housekeeping . She divided her children among her relatives and went to the States . I had to go to the asylum at Hopeton , because nobody would take me . They did n't want me at the asylum , either ; they said they were over-crowded as it was . But they had to take me and I was there four months until Mrs. Spencer came . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
363,28968,"""`` Very well , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
364,29194,"""`` I 'll take you down after milking . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
365,45385,"""`` And Mr. Phillips spelled my name without an e , too . The iron has entered into my soul , Diana . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
366,53425,"""`` and I always will , you may be sure of that . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
367,31679,"""`` I did hope there would be a white one with puffed sleeves , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
368,15781,"""`` I guess it does n't matter what a person 's name is as long as he behaves himself , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
369,21340,"""`` I -- I do n't suppose it will , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
370,46082,"""`` Did you hear what I said , Anne ? '' "", ","45,Mr. Phillips,
"
371,66620,"""`` I know people who have seen them . And they are respectable people . Charlie Sloane says that his grandmother saw his grandfather driving home the cows one night after he 'd been buried for a year . You know Charlie Sloane 's grandmother would n't tell a story for anything . She 's a very religious woman . And Mrs. Thomas 's father was pursued home one night by a lamb of fire with its head cut off hanging by a strip of skin . He said he knew it was the spirit of his brother and that it was a warning he would die within nine days . He did n't , but he died two years after , so you see it was really true . And Ruby Gillis says -- '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
372,66977,"""`` You know I always mean what I say . I 'll cure you of imagining ghosts into places . March , now . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
373,70488,"""`` It 's Anne 's doings , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
374,82207,"""`` There 's time enough to think of that , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
375,48325,"""`` I 'm so glad I live in a world where there are Octobers . It would be terrible if we just skipped from September to November , would n't it ? Look at these maple branches . Do n't they give you a thrill -- several thrills ? I 'm going to decorate my room with them . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
376,86794,"""`` I little know how you got into this fix , but I mean to find out , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
377,92455,"""`` unless it 's that Moody Spurgeon MacPherson saw you home from prayer meeting last night . Did he ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
378,34170,"""`` Yes , this is Anne Shirley , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
379,112458,"""`` Her husband was a British officer , and she is very careful what sort of boarders she takes . Anne will not meet with any objectionable persons under her roof . The table is good , and the house is near the Academy , in a quiet neighborhood . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
380,110221,"""`` because it sounds silly . It could n't be better than Mrs. Evans 's , you know , for she is a professional , and I 'm only a schoolgirl , with a little knack of reciting . I 'm quite satisfied if the people just liked mine pretty well . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
381,81346,"""`` Oh , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
382,119593,"""`` It seems like disloyalty to Matthew , somehow , to find pleasure in these things now that he has gone , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
383,93695,"""`` great magnificence , '' "", ","36,Miss Barry,11,Josephine,5,Miss Josephine Barry,2,Barry,1,Josephine Barry,
"
384,112947,"""`` I suppose you 're homesick -- some people have so little self-control in that respect . I 've no intention of being homesick , I can tell you . Town 's too jolly after that poky old Avonlea . I wonder how I ever existed there so long . You should n't cry , Anne ; it is n't becoming , for your nose and eyes get red , and then you seem _ all _ red . I 'd a perfectly scrumptious time in the Academy today . Our French professor is simply a duck . His moustache would give you kerwollowps of the heart . Have you anything eatable around , Anne ? I 'm literally starving . Ah , I guessed likely Marilla ` d load you up with cake . That 's why I called round . Otherwise I 'd have gone to the park to hear the band play with Frank Stockley . He boards same place as I do , and he 's a sport . He noticed you in class today , and asked me who the red-headed girl was . I told him you were an orphan that the Cuthberts had adopted , and nobody knew very much about what you 'd been before that . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
385,92412,"""`` Jane 's mother is going to let her have a birthday party ? '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
386,2091,"""`` Matthew went to Bright River . We 're getting a little boy from an orphan asylum in Nova Scotia and he 's coming on the train tonight . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
387,123923,"""`` Gilbert , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
388,69109,"""`` Oh , of course he 's good , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
389,69874,"""`` You know there is no such thing as a dryad , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
390,89351,"""`` Well , I 'll be Elaine , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
391,121184,"""`` What am I to live for if I ca n't read or sew or do anything like that ? I might as well be blind -- or dead . And as for crying , I ca n't help that when I get lonesome . But there , it 's no good talking about it . If you 'll get me a cup of tea I 'll be thankful . I 'm about done out . Do n't say anything about this to any one for a spell yet , anyway . I ca n't bear that folks should come here to question and sympathize and talk about it . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
392,41011,"""`` Dear life and heart , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
393,41742,"""`` but I 've learned a lesson . I have to laugh when I think of Anne 's ` confession , ' although I suppose I should n't for it really was a falsehood . But it does n't seem as bad as the other would have been , somehow , and anyhow I 'm responsible for it . That child is hard to understand in some respects . But I believe she 'll turn out all right yet . And there 's one thing certain , no house will ever be dull that she 's in . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
394,107932,"""`` All ready , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
395,109786,"""`` Oh , I ca n't go , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
396,60522,"""`` Well now , you , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
397,24683,"""`` There -- I know this prayer . I learned that last sentence coming upstairs . Now I 'm going to imagine things into this room so that they 'll always stay imagined . The floor is covered with a white velvet carpet with pink roses all over it and there are pink silk curtains at the windows . The walls are hung with gold and silver brocade tapestry . The furniture is mahogany . I never saw any mahogany , but it does sound _ so _ luxurious . This is a couch all heaped with gorgeous silken cushions , pink and blue and crimson and gold , and I am reclining gracefully on it . I can see my reflection in that splendid big mirror hanging on the wall . I am tall and regal , clad in a gown of trailing white lace , with a pearl cross on my breast and pearls in my hair . My hair is of midnight darkness and my skin is a clear ivory pallor . My name is the Lady Cordelia Fitzgerald . No , it is n't -- I ca n't make _ that _ seem real . '' "", ","14,Cordelia,2,Lady Cordelia,2,Lady Cordelia Fitzgerald,
"
398,116391,"""`` Are n't you proud of that Anne-girl ? I am , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
